Comparison;SHA-256
BIPM.RI(II)-K1.Ce-139;1c05822c236c0d672c3510e23d1e4af08ba7f9c911ec055264bb685967754057
BIPM.RI(II)-K1.Na-22;ba07b8642838ee0bdf337f513fb101781381b74875759bd71229f1dab58ebd8e
BIPM.RI(II)-K1.Lu-177;bbcc4aff2bd6c1014c9d0754449cf71e04481bf2e0f2f0594f56685236a0f17d
BIPM.RI(II)-K1.Ac-225;c101d7aea28e040d5f4064ddd8ea85b04cac7cbd3b6e6c22e0ffdc6322dfe694
BIPM.RI(II)-K1.Ag-110m;20783b2a975d2da11395e0f4cbafdeb37979a40bd3b23790e24f4defca3f010d
BIPM.RI(II)-K1.Ba-133;7c322532577ebc76dcf5c85ebda9e05f5e9890a92e6b14408dd1c0df9bc46b9b
BIPM.RI(II)-K1.Cd-109;dd5633b878b9908ed47867b5641364eb487a778c7bab8e945ae2f8eef72e06e6
BIPM.RI(II)-K1.Co-60;0b7e86b2a7b0f49834f10cd2a5ef503fc5ab4908fdf5574c031cf902e49610ab
BIPM.RI(II)-K1.Cs-134;0950d78d1578bd1b107205c23996471487c47f522fe44310ee2cb2df2a716362
BIPM.RI(II)-K1.Ga-67;64056a6bd149cbd1938349ce75b421cb82f485f0b1f89e87ace5095bf57bd1c0
BIPM.RI(II)-K1.Gd-153;b1a62d624d930981cb53d27d90ab882190cca6b07cef2faa059098b6b78e1f00
BIPM.RI(II)-K1.Ra-223;f47adbe765ff207cdda3e5c8e569e60cf9421026659dec3df61ef710d9c1d1fd
