molecule;SMILES;InChIKey;InChI
Ag-110m;[110mAg];;
Ag;[Ag];BQCADISMDOOEFD-UHFFFAOYSA-N;InChI=1S/Ag
Ag+;[Ag+];FOIXSVOLVBLSDH-UHFFFAOYSA-N;InChI=1S/Ag/q+1
AgCN;[C-]#N.[Ag+];LFAGQMCIGQNPJG-UHFFFAOYSA-N;"InChI=1S/CN.Ag/c1-2;/q-1;+1"
AgNO3;[N+](=O)([O-])[O-].[Ag+];SQGYOTSLMSWVJD-UHFFFAOYSA-N;"InChI=1S/Ag.NO3/c;2-1(3)4/q+1;-1"
HNO3;[N+](=O)(O)[O-];GRYLNZFGIOXLOG-UHFFFAOYSA-N;InChI=1S/HNO3/c2-1(3)4/h(H,2,3,4)
NH3;N=[N+]=[N-];JUINSXZKUKVTMD-UHFFFAOYSA-N;InChI=1S/HN3/c1-3-2/h1H
KCN;[C-]#N.[K+];NNFCIKHAZHQZJG-UHFFFAOYSA-N;"InChI=1S/CN.K/c1-2;/q-1;+1"
water;O;XLYOFNOQVPJJNP-UHFFFAOYSA-N;InChI=1S/H2O/h1H2
H2O;O;XLYOFNOQVPJJNP-UHFFFAOYSA-N;InChI=1S/H2O/h1H2
