molecule;SMILES;InChIKey;InChI
CsCl;[Cl-].[Cs+];AIYUHDOJVYHVIT-UHFFFAOYSA-M;"InChI=1S/ClH.Cs/h1H;/q;+1/p-1"
137CsCl;[Cl-].[137Cs+];AIYUHDOJVYHVIT-TUDVEANBSA-M;"InChI=1S/ClH.Cs/h1H;/q;+1/p-1/i;1+4"
CsNO3;[N+](=O)([O-])[O-].[Cs+];NLSCHDZTHVNDCP-UHFFFAOYSA-N;"InChI=1S/Cs.NO3/c;2-1(3)4/q+1;-1"
Cs+;[Cs+];NCMHKCKGHRPLCM-UHFFFAOYSA-N;InChI=1S/Cs/q+1
Cs;[Cs];TVFDJXOCXUVLDH-UHFFFAOYSA-N;InChI=1S/Cs
137Cs;[137Cs];TVFDJXOCXUVLDH-RNFDNDRNSA-N;InChI=1S/Cs/i1+4
HNO3;[N+](=O)(O)[O-] ;GRYLNZFGIOXLOG-UHFFFAOYSA-N;1S/HNO3/c2-1(3)4/h(H,2,3,4)
HCl;Cl;VEXZGXHMUGYJMC-UHFFFAOYSA-N;InChI=1S/ClH/h1H
CoCl2;[Cl-].[Cl-].[Co+2] ;GVPFVAHMJGGAJG-UHFFFAOYSA-L;"InChI=1S/2ClH.Co/h2*1H;/q;;+2/p-2 "
BaCl2;[Cl-].[Cl-].[Ba+2];WDIHJSXYQDMJHN-UHFFFAOYSA-L ;"InChI=1S/Ba.2ClH/h;2*1H/q+2;;/p-2"
Ba;[Ba];DSAJWYNOEDNPEQ-UHFFFAOYSA-N;InChI=1S/Ba
Ba(NO3)2;[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Ba+2] ;IWOUKMZUPDVPGQ-UHFFFAOYSA-N;"InChI=1S/Ba.2NO3/c;2*2-1(3)4/q+2;2*-1"
