molecule;SMILES;InChIKey;InChI
67Ga;[67Ga];GYHNNYVSQQEPJS-OIOBTWANSA-N;InChI=1S/Ga/i1-3
Ga;[Ga];GYHNNYVSQQEPJS-UHFFFAOYSA-N;InChI=1S/Ga
Ga citrate;C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.[Ga+3];YEEGWNXDUZONAA-UHFFFAOYSA-K;"InChI=1S/C6H8O7.Ga/c7-3(8)1-6(13,5(11)12)2-4(9)10;/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12);/q;+3/p-3"
Gacitrate;C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.[Ga+3];YEEGWNXDUZONAA-UHFFFAOYSA-K;"InChI=1S/C6H8O7.Ga/c7-3(8)1-6(13,5(11)12)2-4(9)10;/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12);/q;+3/p-3"
67Ga citrate;C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.[67Ga+3];YEEGWNXDUZONAA-RYDPDVNUSA-K;"InChI=1S/C6H8O7.Ga/c7-3(8)1-6(13,5(11)12)2-4(9)10;/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12);/q;+3/p-3/i;1-3"
Na3C6O7H5. 2H2O;C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.[Na+].[Na+].[Na+];HRXKRNGNAMMEHJ-UHFFFAOYSA-K;"InChI=1S/C6H8O7.3Na/c7-3(8)1-6(13,5(11)12)2-4(9)10;;;/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12);;;/q;3*+1/p-3"
Na3C6O7H5.2H2O;C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.[Na+].[Na+].[Na+];HRXKRNGNAMMEHJ-UHFFFAOYSA-K;"InChI=1S/C6H8O7.3Na/c7-3(8)1-6(13,5(11)12)2-4(9)10;;;/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12);;;/q;3*+1/p-3"
GaC6O7H5;C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.[Ga+3];YEEGWNXDUZONAA-UHFFFAOYSA-K;"InChI=1S/C6H8O7.Ga/c7-3(8)1-6(13,5(11)12)2-4(9)10;/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12);/q;+3/p-3"
Ga2O3;[O-2].[O-2].[O-2].[Ga+3].[Ga+3];AJNVQOSZGJRYEI-UHFFFAOYSA-N;"InChI=1S/2Ga.3O/q2*+3;3*-2"
Na citrate;C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.[Na+].[Na+].[Na+];HRXKRNGNAMMEHJ-UHFFFAOYSA-K;"InChI=1S/C6H8O7.3Na/c7-3(8)1-6(13,5(11)12)2-4(9)10;;;/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12);;;/q;3*+1/p-3"
Nacitrate;C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.[Na+].[Na+].[Na+];HRXKRNGNAMMEHJ-UHFFFAOYSA-K;"InChI=1S/C6H8O7.3Na/c7-3(8)1-6(13,5(11)12)2-4(9)10;;;/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12);;;/q;3*+1/p-3"
GaCl3;Cl[Ga](Cl)Cl.[Ga];NLMAIYDZNXTLDS-UHFFFAOYSA-K;"InChI=1S/3ClH.2Ga/h3*1H;;/q;;;;+3/p-3"
NaCl;[Na+].[Cl-];FAPWRFPIFSIZLT-UHFFFAOYSA-M;"InChI=1S/ClH.Na/h1H;/q;+1/p-1"
HCl;Cl;VEXZGXHMUGYJMC-UHFFFAOYSA-N;InChI=1S/ClH/h1H
