molecule;SMILES;InChIKey;InChI
Sn;[Sn];ATJFFYVFTNAWJD-UHFFFAOYSA-N;InChI=1S/Sn
113Sn;[113Sn];ATJFFYVFTNAWJD-VENIDDJXSA-N;InChI=1S/Sn/i1-6
Sn4+;[Sn+4];SYRHIZPPCHMRIT-UHFFFAOYSA-N;InChI=1S/Sn/q+4
Sn(IV);Cl[Sn](Cl)(Cl)Cl;HPGGPRDJHPYFRM-UHFFFAOYSA-J;"InChI=1S/4ClH.Sn/h4*1H;/q;;;;+4/p-4"
In;[In];APFVFJFRJDLVQX-UHFFFAOYSA-N;InChI=1S/In
SnCl4;Cl[Sn](Cl)(Cl)Cl;HPGGPRDJHPYFRM-UHFFFAOYSA-J;"InChI=1S/4ClH.Sn/h4*1H;/q;;;;+4/p-4"
HCl;Cl;VEXZGXHMUGYJMC-UHFFFAOYSA-N;InChI=1S/ClH/h1H
Hexachloro-stannate;[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Sn+4];ILYVYUKEIDBOHX-UHFFFAOYSA-H;"InChI=1S/6ClH.Sn/h6*1H;/q;;;;;;+4/p-6"
SnCl2;Cl[Sn]Cl;AXZWODMDQAVCJE-UHFFFAOYSA-L;"InChI=1S/2ClH.Sn/h2*1H;/q;;+2/p-2"
SnCl2.2H2O;Cl[Sn]Cl;AXZWODMDQAVCJE-UHFFFAOYSA-L;"InChI=1S/2ClH.Sn/h2*1H;/q;;+2/p-2"
