molecule;SMILES;InChIKey;InChI
TCl;C1=CC(=C(C=C1Cl)O)OC2=C(C=C(C=C2)Cl)Cl;XEFQLINVKFYRCS-UHFFFAOYSA-N;InChI=1S/C12H7Cl3O2/c13-7-1-3-11(9(15)5-7)17-12-4-2-8(14)6-10(12)16/h1-6,16H
Tl;[Tl];BKVIYDNLLOSFOA-UHFFFAOYSA-N;InChI=1S/Tl
201Tl;[201Tl];BKVIYDNLLOSFOA-OIOBTWANSA-N;InChI=1S/Tl/i1-3
isotonic NaCl;[Na+].[Cl-];FAPWRFPIFSIZLT-UHFFFAOYSA-M;"InChI=1S/ClH.Na/h1H;/q;+1/p-1"
isotonicNaCl;[Na+].[Cl-];FAPWRFPIFSIZLT-UHFFFAOYSA-M;"InChI=1S/ClH.Na/h1H;/q;+1/p-1"
NaCl;[Na+].[Cl-];FAPWRFPIFSIZLT-UHFFFAOYSA-M;"InChI=1S/ClH.Na/h1H;/q;+1/p-1"
TlCl3.4H2O;Cl[Tl](Cl)Cl;KTZHUTMWYRHVJB-UHFFFAOYSA-K;"InChI=1S/3ClH.Tl/h3*1H;/q;;;+3/p-3"
HCl;Cl;VEXZGXHMUGYJMC-UHFFFAOYSA-N;InChI=1S/ClH/h1H
benzyl alcohol C7H8O;C1=CC=C(C=C1)CO;WVDDGKGOMKODPV-UHFFFAOYSA-N;InChI=1S/C7H8O/c8-6-7-4-2-1-3-5-7/h1-5,8H,6H2
TlNO3;N(=O)[O-].[O-2].[Ti+3];HDIJPZVKTMIXSR-UHFFFAOYSA-;"InChI=1S/HNO2.O.Ti/c2-1-3;;/h(H,2,3);;/q;-2;+3/p-1"
HNO3;[N+](=O)(O)[O-];GRYLNZFGIOXLOG-UHFFFAOYSA-N;InChI=1S/HNO3/c2-1(3)4/h(H,2,3,4)
water;O;XLYOFNOQVPJJNP-UHFFFAOYSA-N;InChI=1S/H2O/h1H2
Tl2SO4;[O-]S(=O)(=O)[O-].[Tl+].[Tl+];YTQVHRVITVLIRD-UHFFFAOYSA-L;"InChI=1S/H2O4S.2Tl/c1-5(2,3)4;;/h(H2,1,2,3,4);;/q;2*+1/p-2"
