molecule;SMILES;InChIKey;InChI
YCl3;Cl[Y](Cl)Cl;PCMOZDDGXKIOLL-UHFFFAOYSA-K;"InChI=1S/3ClH.Y/h3*1H;/q;;;+3/p-3"
Y(NO3)3;[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Y+3];BXJPTTGFESFXJU-UHFFFAOYSA-N;"InChI=1S/3NO3.Y/c3*2-1(3)4;/q3*-1;+3"
Y;[Y];VWQVUPCCIRVNHF-UHFFFAOYSA-N;InChI=1S/Y
88Y;[88Y];VWQVUPCCIRVNHF-BJUDXGSMSA-N;InChI=1S/Y/i1-1
HNO3;[N+](=O)(O)[O-];GRYLNZFGIOXLOG-UHFFFAOYSA-N;InChI=1S/HNO3/c2-1(3)4/h(H,2,3,4)
HCl;Cl;VEXZGXHMUGYJMC-UHFFFAOYSA-N;InChI=1S/ClH/h1H
YCl3.H2O;Cl[Y](Cl)Cl;PCMOZDDGXKIOLL-UHFFFAOYSA-K;"InChI=1S/3ClH.Y/h3*1H;/q;;;+3/p-3"
YCl3.6H2O;Cl[Y](Cl)Cl;PCMOZDDGXKIOLL-UHFFFAOYSA-K;"InChI=1S/3ClH.Y/h3*1H;/q;;;+3/p-3"
La2O3;[O-2].[O-2].[O-2].[La+3].[La+3];MRELNEQAGSRDBK-UHFFFAOYSA-N;"InChI=1S/2La.3O/q2*+3;3*-2"
Y+++;Cl[Y](Cl)Cl;PCMOZDDGXKIOLL-UHFFFAOYSA-K;"InChI=1S/3ClH.Y/h3*1H;/q;;;+3/p-3"
Y3+;Cl[Y](Cl)Cl;PCMOZDDGXKIOLL-UHFFFAOYSA-K;"InChI=1S/3ClH.Y/h3*1H;/q;;;+3/p-3"
