Accronym;Full name;Address;Country;RMO;old accronym;Validity date;ROR
AECL;Atomic Energy of Canada Ltd;;Canada;SIM;-;;https://ror.org/019ja9e37
ANSTO;Australian Nuclear Science and Technology Organisation;New Illawarra Road, Lucas Heights 2234 NSW;Australia;APMP;AAEC;;https://ror.org/05j7fep28
ASMW;"Amt f\""{u}r Standardisierung, Me\ss{}wesen und Warenpr\""{u}fung";" Berlin-K\""{o}penick";former East Germany;-;-;;
BARC;Bhabha Atomic Research Centre;Mumbai;India;APMP;-;;https://ror.org/05w6wfp17
BelGIM;Belarussian State Institute of Metrology;;Belarus;COOMET;-;;https://ror.org/01akz7g58
BEV;Bundesamt fur Eich- und Vermessungswesen;Arltgasse 35 A-1160 Vienne;Austria;EURAMET;IRK;;https://ror.org/038680g19
BIPM;Bureau International des Poids et Mesures;Pavillon de Breteuil, F-92312 Sèvres Cedex;;;-;;https://ror.org/055vkyj43
BKFH;Government Office of the Capital City Budapest;"Nemetv\""{o}lgyi Ut 37-39 H-1124 Budapest";Hungary;EURAMET;OMH, MKEH;;https://ror.org/03c6pbw79
CENTIS-DMR;Centro de Is\'{o}topos, Departamento de Metrolog\'{i}a de Radion\'{u}clidos;;Cuba;COOMET;-;;
CIEMAT;Centro de Investigaciones Energeticas, Medioambientales y Tecnologicas;H-1124 Budapest;Spain;EURAMET;-;;https://ror.org/05xx77y52
CMI;Czech Metrological Institute;;Czechia;EURAMET;UVVVR, CMI-IIR;;https://ror.org/02m5haa59
CNEA;Comision Nacional de Energia Atomica ;Buenos Aires;Argentina;SIM;-;;https://ror.org/01xz39a70
ENEA-INMRI;Agenzia nazionale per le nuove tecnologie, l'energia e lo sviluppo economico sostenibile - Istituto Nazionale di Metrologia delle Radiazioni Ionizzanti;Roma;Italy;EURAMET;-;;https://ror.org/01m7aex78
IAEA;International Atomic Energy Agency ;Wagramerstrasse, 5 A-1400 Vienna;;;-;;https://ror.org/02zt1gg83
IFIN-HH;"Institutul National de Cercetare - Dezvoltare in Fizica si Inginerie Nucleara- ""Horia Hulubei""";Bucarest - Magurele;Romania;EURAMET;-;;https://ror.org/00d3pnh21
